date,likesCount,profileName,commentsCount,text,Cleaned_Text,Sentiment,Sentiment_Label
2020-09-15 21:25:05+00:00,27,e332cfd3f53d89cdd75a57b80d011e2f5984437cc51340e9ad4c116871753d98,6.0,I wish this was simply old news and we had people who cared as the wealthiest and most powerful. I wish we didn't have to fight to save a beautiful and healthy planet.,i wish this was simply old news and we had people who cared as the wealthiest and most powerful i wish we didnt have to fight to save a beautiful and healthy planet,0.9763,Positive
2020-09-15 21:30:35+00:00,7,7d6065e313e1919d05a309bd59754895d9518d3ca8e8baa74e510cd27ac78154,8.0,The sad thing is that if we look at projected crude oil demand and new coal fired power plants coming online next 10 years this graph will continue to increase exponentially,the sad thing is that if we look at projected crude oil demand and new coal fired power plants coming online next  years this graph will continue to increase exponentially,-0.8625,Negative
2020-09-15 21:32:15+00:00,4,930f8ce8e022378d44088377fef6a069da6c519c2e5ba12ea2d4dac5d71f1ad0,0.0,We all play a part....as a world we need to do better....,we all play a partas a world we need to do better,0.6486,Positive
2020-09-15 21:36:05+00:00,3,00febfebfa7073f73c576deb9dba73eb9f98e26bb03f3dfa8b50ce5c9d598278,7.0,Re ord being from 1860 something...lolol,re ord being from  somethinglolol,0.0,Neutral
2020-09-15 21:36:59+00:00,16,6c5e0b507471c121613153d3459e97b050dd47d1ec744ce0c5cf0a1393db2a8f,8.0,The climate is changing but it’s ridiculous to think that we humans can change that! If we’re the cause what caused the last ice age to melt??,the climate is changing but its ridiculous to think that we humans can change that if were the cause what caused the last ice age to melt,-0.5023,Negative
2020-09-15 21:40:25+00:00,11,0bc1bc50b627dd342e3a0498e0f8240c99d4daf267ebea90c1864660f109b6a1,0.0,Also people are forgetting about the delay factor when it comes to greenhouse gases.  The warming we are experiencing today is from decades past.  Like a pot of water on the stove it doesn’t come to a boil immediately. I’m really nervous on how this planet is going to look in my 60s and 70s....If I make it that far,also people are forgetting about the delay factor when it comes to greenhouse gases  the warming we are experiencing today is from decades past  like a pot of water on the stove it doesnt come to a boil immediately im really nervous on how this planet is going to look in my s and sif i make it that far,-0.1513,Negative
2020-09-15 21:40:29+00:00,15,cc3d8aa82d98a9bf3a1234a7b0196ffefb2c8fb67008b98f18d093fadcedf8b8,8.0,"""I dont think science knows!""",i dont think science knows,0.0,Neutral
2020-09-15 21:41:48+00:00,0,a92bc6c100d515573c323fa711e8ea404df10228478a540796805c7f4c86eeee,2.0,"Link doesn't seem to be working, can you repost?",link doesnt seem to be working can you repost,0.0,Neutral
2020-09-15 21:42:26+00:00,28,7668d526c629471e5802570b3f6391db8ae65d05befed97057539caa56cfc793,24.0,It’s not all Climate change believe me there’s a lot of other things to consider here & u all no it. The lying Democrats think their always right u know it.,its not all climate change believe me theres a lot of other things to consider here  u all no it the lying democrats think their always right u know it,-0.6808,Negative
2020-09-15 21:42:37+00:00,1,bf2fac3aa805d5c3846209290fbf153a094ebcb22789f50ed6456c4214da9443,0.0,Natural disasters. Hard to security? I wish they get better.,natural disasters hard to security i wish they get better,0.6705,Positive
2020-09-15 21:43:00+00:00,4,7ad79c47512d814172d417e9c8fca497cae43a542bebe016c731c0263f203918,7.0,What was the reason for the dust bowl in the1920’s,what was the reason for the dust bowl in thes,0.0,Neutral
2020-09-15 21:44:55+00:00,0,065c5d9cdf1b4f5a72308b877140dba8ac4e4f15fad1e29d9beb2d8f84e5bb13,0.0,Anneliese Garcia,anneliese garcia,0.0,Neutral
2020-09-15 21:52:21+00:00,0,6d16a0ff129a70ccde485892ef19138f8820b0ad652a26b0d13ca3fe6f766c7a,1.0,Someone send this to tRump !!!,someone send this to trump ,0.0,Neutral
2020-09-15 21:52:54+00:00,0,6d16a0ff129a70ccde485892ef19138f8820b0ad652a26b0d13ca3fe6f766c7a,0.0,A very real concern !!!!,a very real concern ,0.0,Neutral
2020-09-15 21:55:18+00:00,12,d609fbf75ea8ad3b63e67a21ec6ca7b1f72a4c92d2fbf9b61866b691413950b2,13.0,Most of the disasters that you talked about. Is where the Earth is moving so the continents will move back together the United States is moving south and east it's not fast but it's moving and it's causing global warming. Because we are moving towards where it's warm. Why don't you look it up for yourself. We move one inch South every year and 3 in East every year. There is your global warming.,most of the disasters that you talked about is where the earth is moving so the continents will move back together the united states is moving south and east its not fast but its moving and its causing global warming because we are moving towards where its warm why dont you look it up for yourself we move one inch south every year and  in east every year there is your global warming,0.56,Positive
2020-09-15 21:56:22+00:00,0,ca77f6c76009b85120762af1fb65cfbac03b252c9e2620e7468492aac3baec28,0.0,Iqbal Badruddin,iqbal badruddin,0.0,Neutral
2020-09-15 21:57:11+00:00,0,266f2205a33fe3365459a836f9e789fd8afeb33c591f22ea38217eff5cfc83cb,7.0,1 degree change? Am I reading this right?, degree change am i reading this right,0.0,Neutral
2020-09-15 21:57:52+00:00,10,4087c8636725f9349f44fdcd2a7a3a315aae55817189bd8921861c167e62be63,12.0,"Global warming , it’s happened before , it’s happening now , it will happen again.  There will probably be an Ice  Age .   Live life while your still here.  ",global warming  its happened before  its happening now  it will happen again  there will probably be an ice  age    live life while your still here  ,0.1531,Positive
2020-09-15 21:59:55+00:00,4,61b73df5d7ccb07c8c17eb24905ed4f75a3609ca6c79d606e3ab63cb6069b9cb,0.0,,nan,0.0,Neutral
2020-09-15 22:05:05+00:00,0,9c82a7d5bdf886527f63ce3f783861aead15b53221f5f1c1353472103681bd00,0.0,You show em!,you show em,0.0,Neutral
